DATE	PREC	TEMP	QOBS
01/04/2013	0	17.6	1.1535
02/04/2013	0	17.6	1.1535
03/04/2013	0	17.6	1.1535
04/04/2013	0	17.6	1.1535
05/04/2013	0	17.6	1.1535
06/04/2013	0	17.6	1.1535
07/04/2013	0	17.6	1.1535
08/04/2013	0	17.6	1.1535
09/04/2013	2.50332	17.6	1.1535
10/04/2013	14.36688	17.6	1.1535
11/04/2013	1.95912	17.6	1.1535
12/04/2013	0	17.6	1.1535
13/04/2013	0.32652	17.6	1.1535
14/04/2013	0.87072	17.6	1.1535
15/04/2013	0.32652	17.6	1.1535
16/04/2013	0	17.6	1.1535
17/04/2013	0	17.6	1.1535
18/04/2013	0	17.6	1.1535
19/04/2013	0.32652	17.6	1.2929
20/04/2013	1.41492	17.6	1.2993
21/04/2013	0.87072	17.6	1.331
22/04/2013	0	17.6	1.2803
23/04/2013	0	17.6	1.2993
24/04/2013	0	17.6	1.2486
25/04/2013	0.32652	17.6	1.2549
26/04/2013	1.6326	17.6	1.3056
27/04/2013	0	17.6	1.2993
28/04/2013	0.5442	17.6	1.3246
29/04/2013	1.0884	17.6	1.2549
30/04/2013	0.32652	17.6	1.2866
01/05/2013	13.2	17.6	2.0091
02/05/2013	1.5	17.6	1.895
03/05/2013	0	17.6	1.5148
04/05/2013	0	17.6	1.426
05/05/2013	0	17.6	1.3817
06/05/2013	0	17.6	1.3436
07/05/2013	0.3	17.6	1.3056
08/05/2013	0	17.6	1.2803
09/05/2013	0	17.6	1.2929
10/05/2013	0	17.6	1.2929
11/05/2013	0	17.6	1.2929
12/05/2013	0.3	17.6	1.2929
13/05/2013	1.5	17.6	1.2929
14/05/2013	3.3	17.6	1.2929
15/05/2013	0	17.6	1.3246
16/05/2013	0	17.6	1.3246
17/05/2013	0	17.6	1.3373
18/05/2013	0	17.6	1.3627
19/05/2013	0.3	17.6	1.3627
20/05/2013	0.3	17.6	1.35
21/05/2013	5.8	17.6	1.4197
22/05/2013	6.1	17.6	2.0472
23/05/2013	0.3	17.6	1.6922
24/05/2013	30	17.6	2.7253
25/05/2013	0.3	17.6	2.0788
26/05/2013	0	17.6	1.5591
27/05/2013	3	17.6	1.4767
28/05/2013	0.8	17.6	1.4514
29/05/2013	23.1	17.6	2.3831
30/05/2013	7.1	17.6	2.681
31/05/2013	0.5442	17.6	2.6493
01/06/2013	12.40776	17.6	2.8141
02/06/2013	0.32652	17.6	2.1612
03/06/2013	21.87684	17.6	1.8697
04/06/2013	11.86356	17.6	1.9267
05/06/2013	0	17.6	1.9141
06/06/2013	18.28512	17.6	3.3084
07/06/2013	0.32652	17.6	2.4211
08/06/2013	0.5442	17.6	1.8063
09/06/2013	1.6326	17.6	1.6859
10/06/2013	8.59836	17.6	1.7493
11/06/2013	0	17.6	1.6479
12/06/2013	0.87072	17.6	1.5655
13/06/2013	3.91824	17.6	1.6352
14/06/2013	2.50332	17.6	1.6479
15/06/2013	0.32652	17.6	1.5972
16/06/2013	7.50996	17.6	2.2373
17/06/2013	0.32652	17.6	2.0091
18/06/2013	21.33264	17.6	1.7429
19/06/2013	0	17.6	1.781
20/06/2013	0.32652	17.6	1.5908
21/06/2013	11.31936	17.6	1.6035
22/06/2013	5.76852	17.6	1.5591
23/06/2013	0.5442	17.6	1.5274
24/06/2013	1.0884	17.6	1.4831
25/06/2013	3.2652	17.6	1.4767
26/06/2013	1.0884	17.6	1.4641
27/06/2013	0.87072	17.6	1.3183
28/06/2013	0	17.6	1.2866
29/06/2013	22.63872	17.6	1.6479
30/06/2013	9.14256	17.6	3.8662
01/07/2013	0.5442	17.6	4.4112
02/07/2013	1.6326	17.6	2.5795
03/07/2013	0	17.6	1.9901
04/07/2013	4.46244	17.6	1.8634
05/07/2013	0.32652	17.6	1.6605
06/07/2013	0.87072	17.6	1.4958
07/07/2013	1.6326	17.6	1.4641
08/07/2013	0	17.6	1.4641
09/07/2013	0	17.6	1.4324
10/07/2013	0.32652	17.6	1.3563
11/07/2013	0.32652	17.6	1.3373
12/07/2013	0.32652	17.6	1.6098
13/07/2013	0	17.6	1.4451
14/07/2013	0.32652	17.6	1.3056
15/07/2013	0	17.6	1.2422
16/07/2013	0	17.6	1.2422
17/07/2013	13.27848	17.6	1.4514
18/07/2013	0.32652	17.6	1.4831
19/07/2013	2.721	17.6	1.4514
20/07/2013	0	17.6	1.4451
21/07/2013	18.82932	17.6	1.4704
22/07/2013	2.1768	17.6	2.0979
23/07/2013	0	17.6	1.5465
24/07/2013	0	17.6	1.4514
25/07/2013	0.87072	17.6	1.4514
26/07/2013	6.31272	17.6	1.4514
27/07/2013	10.77516	17.6	1.5465
28/07/2013	9.90444	17.6	1.6098
29/07/2013	0.32652	17.6	1.6225
30/07/2013	0.32652	17.6	1.4577
31/07/2013	0.32652	17.6	1.4197
01/08/2013	0.87072	17.6	1.388
02/08/2013	1.0884	17.6	1.3627
03/08/2013	3.04752	17.6	1.369
04/08/2013	0.87072	17.6	1.3817
05/08/2013	1.95912	17.6	1.3627
06/08/2013	0.32652	17.6	1.331
07/08/2013	0	17.6	1.2549
08/08/2013	0	17.6	1.2613
09/08/2013	0.32652	17.6	1.2549
10/08/2013	0.32652	17.6	1.2613
11/08/2013	0	17.6	1.2676
12/08/2013	5.76852	17.6	1.4704
13/08/2013	1.41492	17.6	1.5528
14/08/2013	0.32652	17.6	1.4894
15/08/2013	0.32652	17.6	1.3627
16/08/2013	0	17.6	1.2993
17/08/2013	5.00664	17.6	1.312
18/08/2013	1.0884	17.6	1.3627
19/08/2013	0.32652	17.6	1.3436
20/08/2013	0.32652	17.6	1.2993
21/08/2013	0.32652	17.6	1.2613
22/08/2013	8.05416	17.6	1.876
23/08/2013	25.68624	17.6	4.1894
24/08/2013	5.55084	17.6	2.7063
25/08/2013	0.5442	17.6	1.9584
26/08/2013	0.32652	17.6	1.6732
27/08/2013	6.85692	17.6	1.6479
28/08/2013	0.32652	17.6	1.6035
29/08/2013	0	17.6	1.4514
30/08/2013	0	17.6	1.3817
31/08/2013	14.1492	17.6	1.5718
01/09/2013	10.23096	17.6	1.6732
02/09/2013	14.36688	17.6	2.9662
03/09/2013	0.32652	17.6	2.4338
04/09/2013	0	17.6	1.7746
05/09/2013	0.87072	17.6	1.5908
06/09/2013	4.13592	17.6	1.7112
07/09/2013	8.05416	17.6	1.9711
08/09/2013	2.50332	17.6	2.1232
09/09/2013	11.64588	17.6	1.8
10/09/2013	10.77516	17.6	1.9965
11/09/2013	5.22432	17.6	2.4274
12/09/2013	17.9586	17.6	2.0535
13/09/2013	7.50996	17.6	2.0218
14/09/2013	0	17.6	2.4274
15/09/2013	0	17.6	1.8887
16/09/2013	26.77464	17.6	2.9218
17/09/2013	0.32652	17.6	2.4972
18/09/2013	53.11392	17.6	4.2021
19/09/2013	0	17.6	4.7788
20/09/2013	0	17.6	2.6619
21/09/2013	14.91108	17.6	2.1993
22/09/2013	17.4144	17.6	3.6507
23/09/2013	0	17.6	2.3134
24/09/2013	0	17.6	1.9901
25/09/2013	6.31272	17.6	1.8634
26/09/2013	9.14256	17.6	2.5669
27/09/2013	0.32652	17.6	1.9141
28/09/2013	9.90444	17.6	1.8127
29/09/2013	3.59172	17.6	1.8063
30/09/2013	22.09452	17.6	3.3908
01/10/2013	0.87072	17.6	2.5415
02/10/2013	21.33264	17.6	3.5873
03/10/2013	0	17.6	3.9042
04/10/2013	4.68012	17.6	2.5098
05/10/2013	0.5442	17.6	2.4845
06/10/2013	2.721	17.6	2.6303
07/10/2013	2.721	17.6	2.2563
08/10/2013	0	17.6	2.0852
09/10/2013	0.32652	17.6	1.876
10/10/2013	0.32652	17.6	1.781
11/10/2013	0	17.6	1.7366
12/10/2013	0.32652	17.6	1.6859
13/10/2013	0.32652	17.6	1.6289
14/10/2013	0.32652	17.6	1.5655
15/10/2013	10.23096	17.6	2.9028
16/10/2013	2.1768	17.6	2.4465
17/10/2013	0.87072	17.6	1.9648
18/10/2013	1.41492	17.6	3.5429
19/10/2013	27.10116	17.6	3.2007
20/10/2013	22.42104	17.6	5.1274
21/10/2013	5.55084	17.6	5.3049
22/10/2013	6.63924	17.6	3.3211
23/10/2013	3.2652	17.6	2.7824
24/10/2013	2.721	17.6	2.6683
25/10/2013	14.91108	17.6	3.3591
26/10/2013	19.5912	17.6	5.926
27/10/2013	1.41492	17.6	4.5507
28/10/2013	1.0884	17.6	3.6824
29/10/2013	1.95912	17.6	2.8774
30/10/2013	0.32652	17.6	2.3831
31/10/2013	0.32652	17.6	2.1296
01/11/2013	23.50944	17.6	2.8901
02/11/2013	0.32652	17.6	2.326
03/11/2013	0	17.6	2.0472
04/11/2013	0.5442	17.6	1.9458
05/11/2013	2.50332	17.6	1.8317
06/11/2013	1.6326	17.6	1.8253
07/11/2013	0.87072	17.6	1.8443
08/11/2013	6.31272	17.6	1.9458
09/11/2013	22.63872	17.6	5.0767
10/11/2013	0.5442	17.6	6.0147
11/11/2013	0	17.6	2.9915
12/11/2013	4.13592	17.6	2.3957
13/11/2013	0	17.6	2.1296
14/11/2013	4.68012	17.6	1.9774
15/11/2013	0	17.6	1.8634
16/11/2013	1.0884	17.6	1.7873
17/11/2013	0	17.6	1.7303
18/11/2013	0.32652	17.6	1.6986
19/11/2013	0	17.6	1.6605
20/11/2013	0	17.6	1.6162
21/11/2013	0	17.6	1.5591
22/11/2013	0	17.6	1.5401
23/11/2013	0.32652	17.6	1.4831
24/11/2013	0.5442	17.6	1.4704
25/11/2013	0	17.6	1.4514
26/11/2013	0	17.6	1.4324
27/11/2013	1.41492	17.6	1.4134
28/11/2013	35.69952	17.6	4.145
29/11/2013	5.22432	17.6	2.1612
30/11/2013	1.6326	17.6	1.8443
01/12/2013	3.2652	17.6	1.7493
02/12/2013	0	17.6	1.6289
03/12/2013	0	17.6	1.5782
04/12/2013	0.32652	17.6	1.5274
05/12/2013	0	17.6	1.6102
06/12/2013	0	17.6	1.5896
07/12/2013	0.32652	17.6	1.5759
08/12/2013	0.5442	17.6	1.5554
09/12/2013	0.32652	17.6	1.5143
10/12/2013	0	17.6	1.5006
11/12/2013	0.32652	17.6	1.4731
12/12/2013	3.04752	17.6	1.4663
13/12/2013	0.5442	17.6	1.4869
14/12/2013	0	17.6	1.4663
15/12/2013	4.46244	17.6	1.5143
16/12/2013	0.87072	17.6	1.9802
17/12/2013	0.87072	17.6	1.4594
18/12/2013	0.87072	17.6	1.432
19/12/2013	1.0884	17.6	1.4389
20/12/2013	0.32652	17.6	1.3978
21/12/2013	0	17.6	1.3567
22/12/2013	0	17.6	1.3567
23/12/2013	0.32652	17.6	1.3224
24/12/2013	0	17.6	1.3087
25/12/2013	0	17.6	1.3224
26/12/2013	0	17.6	1.2813
27/12/2013	0.32652	17.6	1.2744
28/12/2013	0	17.6	1.2676
29/12/2013	0	17.6	1.3087
30/12/2013	0.32652	17.6	1.2607
31/12/2013	0	17.6	1.247
01/01/2014	0.5442	17.6	1.2813
02/01/2014	0.32652	17.6	1.2607
03/01/2014	0	17.6	1.2607
04/01/2014	0.32652	17.6	1.247
05/01/2014	0	17.6	1.2813
06/01/2014	0.32652	17.6	1.2539
07/01/2014	0	17.6	1.247
08/01/2014	0.32652	17.6	1.2196
09/01/2014	7.18344	17.6	1.247
10/01/2014	1.95912	17.6	1.3293
11/01/2014	0.32652	17.6	1.2333
12/01/2014	1.0884	17.6	1.2813
13/01/2014	0.32652	17.6	1.2676
14/01/2014	0	17.6	1.2402
15/01/2014	0	17.6	1.1991
16/01/2014	1.6326	17.6	1.1854
17/01/2014	0.87072	17.6	1.2881
18/01/2014	0	17.6	1.2333
19/01/2014	1.41492	17.6	1.247
20/01/2014	0.87072	17.6	1.2744
21/01/2014	0.32652	17.6	1.2265
22/01/2014	0.87072	17.6	1.2059
23/01/2014	0.87072	17.6	1.2539
24/01/2014	0.32652	17.6	1.2128
25/01/2014	0	17.6	1.2059
26/01/2014	0.32652	17.6	1.2333
27/01/2014	0	17.6	1.1717
28/01/2014	0.32652	17.6	1.1922
29/01/2014	0	17.6	1.1785
30/01/2014	0	17.6	1.1922
31/01/2014	0	17.6	1.1991
01/02/2014	0	17.6	1.1717
02/02/2014	0.3	17.6	1.2059
03/02/2014	0	17.6	1.1511
04/02/2014	0	17.6	1.1374
05/02/2014	0	17.6	1.1374
06/02/2014	0	17.6	1.1374
07/02/2014	0	17.6	1.1169
08/02/2014	0.5	17.6	1.1443
09/02/2014	0.8	17.6	1.2196
10/02/2014	1.8	17.6	1.1854
11/02/2014	0	17.6	1.1511
12/02/2014	0	17.6	1.1374
13/02/2014	0	17.6	1.1031
14/02/2014	0	17.6	1.0894
15/02/2014	0	17.6	1.11
16/02/2014	0	17.6	1.1237
17/02/2014	0	17.6	1.0552
18/02/2014	0	17.6	1.0552
19/02/2014	0	17.6	1.0757
20/02/2014	0	17.6	1.0689
21/02/2014	0	17.6	1.0552
22/02/2014	0	17.6	1.0826
23/02/2014	0	17.6	1.1306
24/02/2014	0	17.6	1.0483
25/02/2014	0.8	17.6	1.0552
26/02/2014	0	17.6	1.0483
27/02/2014	0	17.6	1.0552
28/02/2014	0.3	17.6	1.0483
01/03/2014	0	17.6	1.0689
02/03/2014	0	17.6	1.0826
03/03/2014	0	17.6	1.0278
04/03/2014	0	17.6	1.0483
05/03/2014	0	17.6	1.0346
06/03/2014	0	17.6	1.0552
07/03/2014	0	17.6	1.0278
08/03/2014	0	17.6	1.0483
09/03/2014	0	17.6	1.0894
10/03/2014	0	17.6	1.0346
11/03/2014	0	17.6	2.0007
